Probe Name	Annotation	Accession	NS Probe ID	Class Name	Analyte Type	Samples above Threshold	20210527_20210527OUa_01 OU01_01.RCC	20210527_20210527OUa_02 OU02_02.RCC	20210527_20210527OUa_03 OU03_03.RCC	20210527_20210527OUa_04 OU04_04.RCC	20210527_20210527OUa_05 OU05_05.RCC	20210527_20210527OUa_06 OU06_06.RCC	20210527_20210527OUa_07 OU07_07.RCC	20210527_20210527OUa_08 OU08_08.RCC	20210527_20210527OUa_09 OU09_09.RCC	20210527_20210527OUa_10 OU10_10.RCC	20210527_20210527OUa_11 OU11_11.RCC	20210527_20210527OUa_12 OU12_12.RCC	20210528_20210528OUb_01 OU13_01.RCC	20210528_20210528OUb_02 OU14_02.RCC	20210528_20210528OUb_03 OU15_03.RCC	20210528_20210528OUb_04 OU16_04.RCC	20210528_20210528OUb_05 OU17_05.RCC	20210528_20210528OUb_06 OU18_06.RCC	20210528_20210528OUb_07 OU19_07.RCC	20210528_20210528OUb_08 OU20_08.RCC	20210528_20210528OUb_09 OU21_09.RCC	20210528_20210528OUb_10 OU22_10.RCC	20210528_20210528OUb_11 OU23_11.RCC	20210528_20210528OUb_12 OU24_12.RCC	20210602OUc_01 OU25_01.RCC	20210602OUc_02 OU26_02.RCC	20210602OUc_03 OU27_03.RCC	20210602OUc_04 OU28_04.RCC	20210602OUc_05 OU29_05.RCC	20210602OUc_06 OU30_06.RCC	20210602OUc_07 OU31_07.RCC	20210602OUc_08 OU32_08.RCC	20210602OUc_09 OU33_09.RCC	20210602OUc_10 OU34_10.RCC	20210602OUc_11 OU35_11.RCC	20210602OUc_12 OU36_12.RCC	20210602_20210602OUd_01 OU37_01.RCC	20210602_20210602OUd_02 OU38_02.RCC	20210602_20210602OUd_03 OU39_03.RCC	20210602_20210602OUd_04 OU40_04.RCC	20210602_20210602OUd_05 OU41_05.RCC	20210602_20210602OUd_06 OU42_06.RCC	20210602_20210602OUd_07 OU43_07.RCC	20210602_20210602OUd_08 OU44_08.RCC	20210602_20210602OUd_09 OU45_09.RCC	20210602_20210602OUd_10 OU46_10.RCC	20210602_20210602OUd_11 OU47_11.RCC	20210602_20210602OUd_12 OU48_12.RCC
IL17B		NM_014443.2		Endogenous	mRNA	68.75	1.189	1.022	1	1	1	1	3.325	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	3.699	4.42	11.415	1.008	4.117	1.531	2.955	1.036	1.06	5.587	1.02	13.323	2.708	7.382	9.52	1.612	7.113	1.342	1.377	4.373	1	10.229
IL17F		NM_052872.3		Endogenous	mRNA	70.833	1.189	1.022	1	1	1.687	1	5.639	1	1	1	3.207	3.21	2.341	1.131	1.131	1.306	1.193	7.403	1	1.177	4.024	1.207	1	1	2.352	1	7.927	1	1.268	2.393	1	1.531	1.126	1.036	1.06	5.587	1.658	3.408	2.708	7.382	1.172	1	4.692	1.193	1.377	1.536	1	2.885
IL18		NM_001562.2		Endogenous	mRNA	100	55.311	8.178	27.074	13.745	9.627	92.421	93.543	48.996	19.262	48.936	21.319	76.936	128.48	4.383	19.085	25.458	16.467	44.869	75.628	8.824	106.354	14.033	34.3	22.917	45.514	42.591	61.832	5.375	59.614	59.829	27.761	55.677	123.407	12.944	60.682	34.96	96.548	24.477	18.055	62.891	50.531	17.272	65.229	221.963	261.883	29.901	35.979	79.475
IL18R1		NM_003855.2		Endogenous	mRNA	93.75	1.189	3.067	23.403	5.734	15.184	17.028	35.711	12.786	2.7	4.214	6.226	23.919	91.019	1.131	1.131	8.486	84.245	92.005	97.773	34.709	47.715	22.484	6.765	1	54.368	13.699	17.44	1	12.261	9.447	15.095	165.882	64.87	102.002	135.937	42.623	88.386	29.434	37.916	74.701	9.52	1	32.539	62.162	37.363	36.52	3.561	16.525
IL18RAP		NM_003853.2		Endogenous	mRNA	72.917	1.189	1.022	8.719	1	8.039	1	10.265	2.829	1	1	1	2.382	39.51	2.121	5.513	7.18	4.057	2.568	43.738	1.177	2.874	3.169	1	1	38.874	3.736	11.098	1	1	5.416	1	6.697	15.338	25.371	21.464	92.43	11.861	1.239	1	13.287	1.172	1	8.324	21.615	18.079	3.427	1	1.049
IL19		NM_013371.3		Endogenous	mRNA	58.333	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.725	1.207	1	1	1.107	1	1.057	2.508	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
IL1A		NM_000575.3		Endogenous	mRNA	66.667	1.189	4.089	4.13	1	1	2.463	1.157	1	8.461	1	1.698	1	13.755	1.131	34.918	38.513	1	6.194	1	1.177	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	8.324	10.882	9.814	1	43.838	1.049
IL1B		NM_000576.2		Endogenous	mRNA	97.917	17.248	11.245	305.158	1	31.858	7.604	28.771	13.692	6.301	7.654	18.301	337.875	23.121	3.252	2.121	48.958	35.559	617.747	110.175	41.768	14.372	9.205	65.633	1.242	31.127	54.546	26.952	23.531	16.489	17.508	16.783	17.411	247.236	45.046	1.06	29.852	37.369	80.247	306.036	9.744	1.318	25.563	145.138	199.305	378.965	41.247	146.003	1.049
IL1R1		NM_000877.2		Endogenous	mRNA	100	38.658	6.134	128.029	78.553	69.968	113.84	125.928	87.016	12.781	20.727	37.922	147.348	327.492	62.062	24.74	129.901	259.893	263.627	192.557	94.714	161.543	172.173	117.854	7.564	193.816	103.364	75.572	24.487	58.769	144.471	190.74	344.965	394.706	516.222	280.089	430.859	272.044	148.411	315.966	257.764	192.311	104.786	274.688	310.212	498.801	218.054	45.803	95.213
IL1R2		NM_173343.1		Endogenous	mRNA	100	19.627	29.647	6.883	29.765	16.772	26.452	18.362	16.407	9.901	23.479	19.055	23.091	39.51	1.131	31.526	4.569	7.876	17.072	33.994	10.001	25.87	6.79	15.31	3.951	87.57	13.699	69.231	2.508	26.636	17.508	6.65	1.531	11.961	58.509	85.06	107.755	22.065	15.802	16.25	12.106	14.207	2.533	18.01	44.273	23.588	19.501	29.102	3.934
IL1RAP		NM_002182.2		Endogenous	mRNA	100	94.564	33.736	287.721	45.057	79.495	122.407	210.362	90.637	101.35	40.68	44.714	89.361	596.744	54.146	30.395	157.317	230.3	228.577	156.238	195.9	383.448	131.129	44.744	40.98	114.131	128.271	66.06	10.153	102.739	51.768	112.206	204.148	323.785	150.673	56.442	193.32	231.231	113.709	110.137	177.453	387.99	259.546	77.337	391.305	188.88	236.964	39.908	192.786
IL1RL1		NM_016232.4		Endogenous	mRNA	83.333	1.189	5.112	44.512	1	43.767	4.177	2.169	1	1	1	1	33.86	60.582	1.131	1.131	1.958	83.29	55.747	13.62	12.354	15.522	29.727	110.258	1	168.361	17.684	4.756	2.508	1.268	7.431	1	37.309	37.852	85.433	5.565	33.683	22.065	1.239	66.804	39.27	17.722	15.43	19.221	29.963	48.382	171.725	1	1.049
IL1RL2		NM_003854.2		Endogenous	mRNA	83.333	5.353	1.022	1.377	1	1	29.022	11.422	10.976	1	1	1	4.038	2.341	1.131	1.131	1.306	1.193	1.209	1	1.177	8.623	12.826	2.018	1	6.779	3.736	6.87	1.553	2.114	4.408	1	5.166	5.206	9.838	1.06	41.346	11.861	26.956	21.666	45.175	41.157	15.43	28.907	32.348	5.682	15.719	1.596	24.918
IL1RN		NM_000577.3		Endogenous	mRNA	87.5	1.189	1.022	22.485	1	9.627	4.177	14.892	1	7.021	3.526	3.207	13.15	41.851	13.43	1.131	7.18	2.148	49.704	7.419	7.648	7.473	1.207	1	1	32.233	1.743	29.066	1	6.342	2.393	1	1.531	31.098	86.468	1.325	4.31	1.02	28.195	86.665	1.181	1.318	11.745	21.642	75.28	77.308	19.501	4.543	1.049
IL2		NM_000586.2		Endogenous	mRNA	56.25	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.756	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
IL20		NM_018724.3		Endogenous	mRNA	77.083	14.869	1.022	1.377	1	1	1	1.157	1	17.822	9.03	5.471	19.778	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1.068	1	13.419	1	5.813	1.553	1	1.008	3.272	1.531	1.126	1.036	1.06	1.277	1.02	3.408	3.611	1.181	1.172	1	5.902	34.733	1.377	712.546	1	1.049
IL21		NM_021803.2		Endogenous	mRNA	62.5	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	1.057	2.508	1	1.008	1	1.531	1.126	1.036	31.003	1.756	1.02	1.239	1.806	1.181	1.172	1	1.211	2.534	1.377	1	1.596	1.049
IL21R		NM_021798.2		Endogenous	mRNA	95.833	17.248	9.201	15.143	1.365	2.481	25.595	32.241	3.734	1.98	2.15	7.735	18.949	32.486	3.252	6.644	5.875	2.148	61.79	23.364	2.941	13.222	15.241	5.816	1	3.459	11.706	1.057	1	8.033	3.401	1.583	1.531	47.984	1.036	1.325	37.515	28.186	12.084	19.861	10.925	30.612	2.533	34.96	33.54	52.514	7.209	20.261	12.328
IL22		NM_020525.4		Endogenous	mRNA	72.917	1.189	3.067	1	1	1	2.463	1.157	1	1	1	1	1.553	2.341	1.131	1.131	1.306	1.193	1.209	1	1.177	6.324	5.583	1	2.145	23.38	7.721	1.057	1	1	1.008	3.272	5.166	17.589	2.589	12.984	6.864	10.841	1.239	1	9.744	1.172	1	1.211	6.112	5.682	8.155	8.473	11.279
IL22RA2		NM_181310.1		Endogenous	mRNA	56.25	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
IL23A		NM_016584.2		Endogenous	mRNA	95.833	5.353	1.022	6.883	1.365	5.657	5.033	5.639	1	5.581	3.526	1.698	5.695	2.341	2.121	1.131	1.306	8.83	4.985	1.218	1.177	1.15	1.207	2.018	12.983	10.099	6.725	7.927	2.508	7.188	1.008	11.717	1.531	14.212	1.036	19.344	3.033	9.821	8.366	1.806	6.201	3.662	1	18.01	4.919	16.701	2.482	12.402	19.672
IL23R		NM_144701.2		Endogenous	mRNA	60.417	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	11.029	1	1.177	2.874	1.207	1.068	1	1.245	3.736	4.756	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	8.8	1.239	1	1.181	1.172	1	1.211	1.342	5.682	1	1	1.049
IL26		NM_018402.1		Endogenous	mRNA	60.417	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	5.813	1	3.805	1.008	1	6.697	1.126	1.036	2.385	1.277	1.02	3.408	4.514	2.657	6.005	1	7.113	1.193	4.304	1	1	1.836
IL27		NM_145659.3		Endogenous	mRNA	56.25	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
IL28A		NM_172138.1		Endogenous	mRNA	56.25	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	3.459	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.325	1.277	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.836
IL28A/B		NM_172139.2		Endogenous	mRNA	66.667	1.189	1.022	1	1	2.481	4.177	1.157	1	1	1	1	3.21	2.341	1.131	1.131	1.306	1	2.568	1	1.765	1.15	1.207	1	1	4.565	1	1.057	1	2.114	1.008	3.272	1.531	1.829	3.624	1.06	4.31	1.02	1.239	1	1.476	1.172	1	1.211	1.342	1.55	1	1	1.049
IL29		NM_172140.1		Endogenous	mRNA	56.25	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
IL2RA		NM_000417.1		Endogenous	mRNA	95.833	100.512	25.558	26.156	13.745	13.597	122.407	181.447	66.196	1	29.671	12.263	56.226	273.642	3.252	13.43	11.097	67.062	65.416	67.655	40.592	122.45	91.293	2.967	20.208	14.526	27.647	26.952	1	99.357	14.485	11.717	28.125	79.504	26.407	19.344	10.696	131.239	36.87	57.777	185.72	66.935	24.642	99.13	158.758	191.635	55.429	22.226	19.672
IL2RB		NM_000878.2		Endogenous	mRNA	100	68.395	15.335	40.841	19.57	8.039	27.309	55.374	14.597	14.221	15.911	14.527	65.338	191.695	15.692	19.085	21.541	23.149	79.919	41.966	14.707	63.812	30.934	4.866	12.079	25.593	27.647	65.003	10.153	33.401	16.5	4.961	23.533	93.013	29.513	23.584	78.382	46.552	23.238	15.347	32.184	25.925	18.194	105.184	249.392	110.366	5.318	37.944	35.41
IL2RG		NM_000206.1		Endogenous	mRNA	97.917	132.628	5.112	39.923	32.678	7.245	59.865	78.506	32.702	3.42	13.159	19.81	230.185	201.061	11.168	15.692	22.847	12.649	66.624	56.139	2.941	108.653	32.141	5.816	3.048	33.34	70.487	100.939	8.242	84.136	37.661	11.717	25.064	208.962	23.3	15.104	60.502	68.999	45.546	18.055	33.365	35.298	8.06	189.936	405.616	162.709	1	34.014	12.328
IL3		NM_000588.3		Endogenous	mRNA	56.25	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
IL32		NM_001012633.1		Endogenous	mRNA	100	68360.328	52718.246	42790.516	13043.241	35236.062	25344.066	44862.113	22318.75	32344.838	29392.244	43610.738	31146.902	86082.969	50205.152	40666.91	38421.27	34034.086	52866.895	33234.84	38769.875	22051.992	46277.809	11575.217	40592.844	62891.141	54505.07	13679.635	40810.613	51737.844	61324.812	46647.207	83407.594	11907.455	56882.289	73266.539	52911.703	35714.031	59551.105	38420.613	59795.59	67029.094	13150.727	24619.201	45591.277	18220.779	58724.156	58544.391	15306.19
IL4		NM_000589.2		Endogenous	mRNA	56.25	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
IL4R		NM_000418.2		Endogenous	mRNA	100	137.386	58.271	233.572	68.359	194.62	299.753	529.593	192.929	57.426	116.364	103.578	207.819	887.067	132.183	45.097	154.706	234.119	489.636	328.089	147.66	302.964	203.56	62.784	22.014	221.484	115.319	123.135	32.131	159.394	115.25	117.273	421.497	373.317	262.512	189.994	490.882	232.251	144.693	238.329	335.713	287.221	167.427	252.895	537.988	350.039	346.641	36.961	209.573
IL5		NM_000879.2		Endogenous	mRNA	56.25	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
IL6		NM_000600.1		Endogenous	mRNA	85.417	56.501	1.022	45.43	1	1	24.738	29.928	14.597	1	1	9.999	23.919	69.947	1.131	5.513	48.958	125.293	215.283	31.336	21.767	198.335	82.842	2.018	1	303.382	6.725	37.522	3.464	1	4.408	1	12.819	358.683	68.864	1.06	36.238	146.544	59.178	46.041	67.615	55.218	3.454	61.597	266.087	457.478	18.555	43.838	1.049
IL6R		NM_000565.2		Endogenous	mRNA	100	23.195	29.647	25.239	14.473	42.973	12.744	44.964	27.27	19.262	23.479	30.375	51.256	130.821	19.085	24.74	47.652	19.331	31.575	59.683	17.06	44.266	21.276	17.209	9.37	55.475	17.684	42.807	16.842	14.798	33.63	47.184	35.778	58.115	27.442	28.883	100.092	30.227	18.28	53.263	38.089	36.47	13.588	67.651	72.895	80.063	74.339	19.279	24.918
IL6ST		NM_002184.2		Endogenous	mRNA	100	2624.6	3138.478	2679.426	1637.608	1723.787	1800.767	2717.939	2932.178	2705.859	3035.695	2413.605	4826.854	3069.176	2139.671	3299.999	2599.975	2837.347	3564.323	3810.28	2676.117	4156.989	2644.468	2919.767	2621.249	3580.407	2319.084	3772.799	1616.485	2380.758	4567.038	1873.725	3502.652	3095.311	2906.273	1621.974	3829.203	3528.92	1894.637	2606.271	4065.463	3059.54	1963.754	3943.255	5314.145	3990.579	3432.727	2675.582	1933.372
IL7		NM_000880.2		Endogenous	mRNA	89.583	8.921	3.067	1.377	31.221	1	11.887	1.157	1	1	2.838	6.981	13.979	20.779	1.131	1.131	1.306	3.102	13.446	5.647	1.177	2.874	1.207	8.664	3.048	11.206	17.684	5.813	1	6.342	17.508	1	1.531	20.967	1.036	6.625	8.141	14.922	7.126	4.514	1.181	6.005	1.612	28.907	15.652	22.211	1.536	1.596	7.082
IL7R		NM_002185.2		Endogenous	mRNA	91.667	76.722	1.022	52.772	23.211	4.069	14.458	143.278	56.238	1	2.15	28.866	327.934	376.66	16.823	28.133	20.236	29.832	75.085	70.313	1.177	116.702	43.006	29.553	1	13.419	63.513	36.465	1	101.894	51.768	26.072	63.33	202.208	56.438	8.745	56.671	26.146	15.802	1	40.451	20.066	17.272	110.027	338.833	70.421	2.482	20.261	13.377
IL8		NM_000584.2		Endogenous	mRNA	100	174.26	68.494	182.177	339.245	177.946	88.137	391.953	62.575	37.984	31.736	199.42	274.09	3942.488	107.302	77.895	1253.967	156.795	453.377	79.171	75.889	76.46	3.169	68.481	9.37	597.772	49.565	254.198	43.598	45.239	31.615	14.25	103.126	134.664	279.081	92.48	674.784	67.979	35.631	622.003	40.451	63.42	81.756	255.317	263.702	799.08	67.721	405.347	18.623
IL9		NM_000590.1		Endogenous	mRNA	56.25	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
ILF3		NM_001137673.1		Endogenous	mRNA	100	1879.982	2033.365	2137.025	1766.497	2817.865	1868.45	1867.815	1997.068	2378.226	2720.575	1922.319	1974.749	2191.182	3183.565	1619.393	1970.707	2138.571	2014.893	1843.741	1721.916	2296.663	2002.251	1812.674	2555.32	3112.261	2180.601	2506.568	2457.397	3718.482	2570.887	1976.747	2403.661	1948.201	2089.224	2441.308	3365.618	2264.738	2193.318	2427.525	2520.652	2362.359	2777.168	2571.478	2851.532	2421.689	3703.138	1842.54	2183.076
IRAK1		NM_001569.3		Endogenous	mRNA	100	280.124	404.833	317.089	546.051	317.683	604.753	527.279	251.769	301.531	282.18	262.812	257.522	585.037	220.4	366.29	387.091	370.628	337.351	486.652	240.609	409.893	359.285	288.76	232.446	323.303	279.705	256.311	262.427	372.482	293.603	259.984	240.883	322.66	380.565	439.08	323.583	249.597	329.354	430.617	488.068	369.242	413.386	245.631	386.535	507.065	288.021	241.292	318.688
IRAK2		NM_001570.3		Endogenous	mRNA	100	76.722	79.74	120.687	133.896	41.385	100.132	115.519	111.457	31.503	17.287	62.071	49.599	147.21	3.252	76.764	37.208	192.116	104.091	150.923	97.067	98.305	36.97	40.946	5.758	142.906	70.487	74.515	47.421	51.158	55.798	129.095	158.229	196.579	309.112	82.94	240.572	116.955	56.7	110.137	99.503	78.653	105.707	90.655	231.503	121.386	48.811	50.714	82.623
IRAK3		NM_007199.1		Endogenous	mRNA	95.833	10.111	2.045	15.143	1	19.154	16.171	38.024	14.597	3.42	7.654	44.714	40.487	88.677	1.131	1.131	4.569	28.877	24.323	32.222	18.237	29.319	18.862	21.007	47.302	70.969	5.729	1.057	1	12.261	13.477	11.717	38.84	28.847	30.549	23.584	56.671	16.963	15.802	22.569	42.813	23.581	6.218	24.064	22.807	80.063	43.138	1.596	17.574
IRAK4		NM_016123.1		Endogenous	mRNA	100	139.765	150.279	184.93	106.225	140.63	275.764	179.133	167.582	140.234	122.556	162.442	178.826	332.175	117.48	110.693	145.567	128.157	198.362	182.813	86.478	258.123	203.56	118.804	121.359	96.424	179.081	121.021	125.778	157.703	127.341	80.117	97.004	177.442	91.646	124.278	70.719	143.483	109.991	130.9	131.392	154.815	129.658	197.201	161.143	180.615	102.704	101.797	114.098
IRF1		NM_002198.1		Endogenous	mRNA	100	265.85	76.673	243.668	102.584	97.756	139.542	287.857	177.54	76.868	145.261	73.391	256.694	266.618	122.004	103.907	214.761	103.337	303.511	401.612	107.657	206.384	116.643	77.976	61.752	114.131	100.375	267.938	52.199	167.004	157.571	74.206	98.534	231.476	143.424	64.921	263.56	193.479	87.683	97.498	106.59	99.744	44.908	273.478	732.374	195.767	151.87	84.115	63.738
IRF3		NM_001571.5		Endogenous	mRNA	100	24.384	14.312	21.568	22.483	14.391	23.025	41.494	37.228	18.542	35.864	23.583	21.434	48.875	13.43	16.823	18.93	8.83	19.489	25.135	17.06	27.02	10.412	20.058	12.079	21.166	24.658	41.75	37.865	31.71	22.546	21.85	20.472	45.732	31.584	43.723	66.888	47.573	21.998	25.277	45.175	42.329	31.09	57.965	65.739	38.74	61.102	19.279	25.967
IRF4		NM_002460.1		Endogenous	mRNA	97.917	52.932	9.201	6.883	35.59	8.039	5.033	11.422	12.786	10.621	13.159	14.527	92.675	123.797	7.775	20.216	1.958	6.921	40.035	14.505	1.177	27.02	6.79	8.664	1	20.059	20.673	65.003	3.464	14.798	22.546	4.961	14.35	50.235	22.264	6.625	19.635	13.902	8.366	14.444	13.287	9.52	12.666	67.651	201.69	81.44	7.209	47.767	8.131
IRF5		NM_002200.3		Endogenous	mRNA	100	31.521	5.112	71.127	16.657	5.657	30.736	34.554	23.649	9.181	17.975	26.602	51.256	48.875	20.216	1.131	26.763	71.835	46.078	63.226	26.473	50.015	26.105	21.007	2.145	15.633	23.662	51.262	28.309	31.71	61.844	43.806	8.227	124.533	15.015	35.243	66.888	76.142	29.434	28.888	21.554	23.581	35.696	51.911	59.776	82.818	10.991	11.42	30.164
IRF7		NM_001572.3		Endogenous	mRNA	100	75.532	37.825	99.578	64.718	22.33	74.43	113.205	30.891	33.663	93.659	77.164	91.018	219.791	46.229	47.359	30.68	43.196	123.429	165.982	37.062	78.759	38.177	41.896	40.98	75.396	42.591	275.337	26.398	145.864	65.875	16.783	49.554	96.39	76.113	49.022	87.321	80.223	65.375	57.777	74.701	43.501	45.829	128.188	287.553	140.67	172.67	48.75	51.147
IRF8		NM_002163.2		Endogenous	mRNA	100	77.911	1.022	26.156	18.114	17.566	95.848	189.543	68.006	19.982	56.505	26.602	176.341	369.636	19.085	11.168	38.513	23.149	179.024	87.143	15.884	136.248	52.663	50.441	14.789	65.435	154.174	217.204	19.709	152.629	81.997	389.185	67.922	345.174	22.264	46.902	52.84	214.906	122.385	139.025	123.124	144.27	60.568	317.065	468.821	376.21	31.792	88.044	73.18
IRGM		NM_001145805.1		Endogenous	mRNA	68.75	1.189	1.022	5.965	3.55	1	1	2.169	1	1	1	1	1	2.341	1.131	1.131	1.306	60.379	29.158	2.104	1.177	1.725	1.207	1	1	1.107	1	1.057	1	1	1.008	6.65	1.531	19.841	1.036	18.284	5.587	25.125	1.239	10.833	6.201	1.172	1	1.211	1.193	1.377	1	1	3.934
ITGA2B		NM_000419.3		Endogenous	mRNA	77.083	1.189	12.268	34.416	1	4.069	1	18.362	37.228	1	1	15.282	8.18	2.341	1.131	1.131	1.306	23.149	37.618	1	1.177	1.15	1.207	1	12.983	8.992	1	1.585	1	1	26.577	24.383	1.531	5.206	1.036	10.864	26.021	56.756	2.169	12.639	2.657	1.318	11.745	11.956	19.23	13.946	1	1	3.934
ITGA4		NM_000885.4		Endogenous	mRNA	97.917	36.279	1.022	72.045	10.104	85.847	118.123	168.724	68.006	11.341	53.065	25.093	79.421	229.157	20.216	13.43	20.236	76.608	93.214	101.317	39.415	145.446	99.743	14.361	3.951	13.419	70.487	58.661	1	92.592	40.684	42.117	57.207	131.287	24.335	37.363	80.936	124.097	86.444	64.096	132.573	123.178	78.071	105.184	175.454	150.312	33.683	24.191	81.574
ITGA5		NM_002205.2		Endogenous	mRNA	100	537.053	147.212	867.75	272.252	501.088	791.523	1897.887	435.533	164.717	432.86	409.217	439.765	3251.799	198.911	279.206	302.232	776.339	1799.762	990.688	445.333	1283.717	798.697	205.206	74.396	857.854	341.474	329.241	85.644	632.924	437.697	373.14	1815.9	1254.757	2328.436	839.738	3135.741	1132.177	589.615	743.875	1338.423	1351.154	429.967	616.119	1741.27	1052.526	782.513	158.774	553.703
ITGA6		NM_000210.1		Endogenous	mRNA	100	4691.925	253.532	1475.313	252.591	671.79	767.535	858.076	453.637	716.294	523.68	1357.83	2304.444	933.893	1855.795	399.087	276.121	1538.12	1573.753	1407.028	1044.209	1933.336	941.144	795.782	1657.599	1114.615	793.784	1428.474	852.02	448.585	1891.733	858.698	2193.965	824.731	1103.379	965.871	1751.373	989.332	430.98	1424.557	1742.341	1985.061	1254.435	618.541	715.678	648.94	1177.729	591.995	948.194
ITGAE		NM_002208.4		Endogenous	mRNA	100	66.016	342.472	194.108	156.47	200.177	246.635	164.097	161.245	187.759	83.338	157.914	163.087	182.33	126.528	105.038	640.365	159.659	263.627	201.415	161.779	193.736	195.11	161.53	109.619	201.563	207.973	224.603	210.825	150.092	124.319	168.784	198.025	211.213	234.552	157.136	163.947	256.739	183.112	250.968	320.359	201.684	163.742	187.515	187.379	193.012	50.702	267.816	151.868
ITGAL		NM_002209.2		Endogenous	mRNA	95.833	67.206	6.134	17.896	13.016	1	46.157	70.41	10.976	13.501	9.718	9.245	83.563	116.773	14.561	6.644	1.958	13.603	58.164	54.368	10.001	58.063	14.033	11.512	1	13.419	50.561	58.661	3.464	48.621	28.592	4.961	3.635	97.516	24.335	8.745	45.177	50.634	30.674	27.083	29.821	27.096	9.903	149.981	192.149	108.989	2.482	24.191	10.229
ITGAM		NM_000632.3		Endogenous	mRNA	100	62.448	18.401	45.43	5.006	13.597	65.005	149.061	38.133	13.501	39.304	22.074	67.823	201.061	22.478	1.131	25.458	44.151	69.041	158.895	24.12	116.702	47.834	49.492	17.498	85.356	62.516	67.117	13.975	62.151	54.791	34.517	49.554	139.167	42.975	42.663	70.719	78.182	41.828	83.054	82.969	111.461	36.617	172.986	285.168	311.471	41.247	18.296	35.41
